construct;frq;mean of constituent
1;673;1.93
2;164;2.65
3;90;2.72
4;65;2.7
5;41;2.72
6;27;2.8
7;15;2.38
8;11;2.73
9.38;13;2.58
12.3;10;2.81
17.47;15;2.76
