construct;frq;mean of constituent
1;206;2.15
2;45;2.93
3;14;3.19
4;20;2.76
5.55;20;2.93
7.56;16;2.8
9;15;2.98
10;10;2.85
11.25;12;2.91
13.36;11;2.88
16.45;11;2.6
20.8;10;2.83
34.8;10;2.86
