constr_l;frq;mean_constit_l
1;378;2.75
2;440;2.79
3;338;2.75
4;163;2.77
5;93;2.74
6;39;2.76
7;11;2.78
8;8;2.7
9;4;2.78
10;1;2.8
12;1;2.92
