construct;frq;mean of constituent
1;21145;1.85
2;5040;2.22
3;2109;2.42
4;1045;2.41
5;600;2.42
6;383;2.36
7;229;2.46
8;144;2.43
9;107;2.52
10;60;2.61
11;64;2.54
12;44;2.36
13;27;2.56
14;17;2.47
15;24;2.42
16;11;3.02
17;14;2.62
18;15;2.47
19.47;15;2.33
22.0;11;2.5
30.62;13;2.26
