constr_l;frq;mean_constit_l
1;1748;2.81
2;1836;2.81
3;1476;2.75
4;848;2.74
5;408;2.74
6;190;2.71
7;84;2.67
8;32;2.69
9;16;2.83
10;10;2.71
11;6;2.98
12;1;3.0
30;1;3.3
