constr_l;frq;mean_constit_l
1;289;2.91
2;301;2.88
3;269;2.81
4;162;2.79
5;73;2.85
6;33;2.67
7;16;2.56
8;4;3.06
9;4;2.75
10;2;2.45
11;1;3.0
