phrase_l;frq;word_mean_l
1;219;1.91
2;76;2.58
3;43;2.82
4;24;2.61
5;27;2.56
6;16;2.59
7;18;2.45
8;13;2.65
9;17;2.65
10;4;2.67
11;5;2.84
12;6;2.68
13;2;2.85
14;3;2.5
15;11;2.67
16;6;2.74
17;5;2.85
18;2;2.08
19;4;2.64
20;3;2.57
21;3;2.54
22;4;2.74
23;2;3.0
24;2;2.48
25;2;2.84
26;1;2.23
27;1;2.56
28;2;3.09
29;2;2.67
30;1;2.6
31;2;2.6
33;2;2.33
36;1;2.81
44;1;2.89
45;1;2.53
47;1;2.47
63;1;2.6
