phrase_l;frq;word_mean_l
1;91;2.02
2;23;2.48
3;14;2.48
4;9;2.64
5;13;2.51
6;9;2.85
7;7;3.08
8;4;2.62
9;7;2.27
10;5;2.64
11;4;2.66
12;1;2.0
13;3;3.13
14;1;2.57
15;1;3.27
17;3;2.63
19;1;2.42
20;1;2.7
22;1;2.95
26;1;2.23
27;1;2.67
31;2;2.47
34;1;1.79
35;1;2.91
44;1;2.3
50;1;1.6
68;1;2.88
