constr_l;frq;mean_constit_l
1;73;3.3
2;85;3.08
3;77;3.02
4;79;3.04
5;55;3.01
6;36;2.99
7;10;2.8
8;10;2.85
9;1;2.67
10;1;3.3
11;1;3.27
13;1;2.69
