constr_l;frq;mean_constit_l
1;577;3.54
2;737;3.16
3;606;3.09
4;477;3.07
5;339;3.04
6;223;3.09
7;112;3.0
8;72;2.98
9;28;3.06
10;14;3.1
11;7;3.0
12;3;3.0
13;2;3.0
18;1;3.0
22;1;3.18
