constr_l;frq;mean_constit_l
1;102;3.49
2;100;3.15
3;73;3.13
4;54;3.06
5;49;3.16
6;31;3.25
7;18;3.03
8;10;3.15
9;6;3.24
10;3;3.2
11;2;2.91
12;1;2.92
13;1;3.31
