phrase_l;frq;word_mean_l
1;893;1.78
2;230;2.07
3;88;2.25
4;37;2.22
5;27;2.17
6;13;2.03
7;7;2.06
8;4;2.06
9;6;2.35
10;2;2.3
12;1;2.17
18;1;2.17
19;1;2.11
