phrase_l;frq;word_mean_l
1;983;1.98
2;212;2.21
3;74;2.34
4;35;2.46
5;24;2.35
6;4;2.04
7;4;2.14
8;5;2.25
9;1;2.11
10;2;3.75
11;1;1.91
12;1;2.0
14;1;2.29
