phrase_l;frq;word_mean_l
1;530;1.81
2;101;2.02
3;52;2.22
4;23;2.09
5;11;2.09
6;9;1.98
7;7;1.82
8;6;2.19
9;1;3.0
10;3;2.23
11;4;2.11
12;1;2.0
13;1;1.92
18;1;2.83
19;1;1.89
20;1;1.45
