constr_l;frq;mean_constit_l
1;13;3.54
2;19;3.03
3;25;2.76
4;30;2.7
5;20;2.76
6;8;2.98
7;7;2.49
8;3;2.92
9;4;2.69
10;6;2.75
11;1;3.0
12;1;2.5
13;1;2.54
15;1;2.07
16;1;3.0
21;1;3.0
