constr_l;frq;mean_constit_l
1;59;2.73
2;68;2.36
3;55;2.68
4;26;2.72
5;21;2.82
6;13;2.86
7;5;2.71
8;9;2.68
9;1;2.0
10;2;2.95
11;2;2.32
14;1;3.29
15;2;2.7
17;1;2.71
42;1;2.17
