constr_l;frq;mean_constit_l
1;98;3.32
2;78;3.15
3;92;2.69
4;50;2.51
5;30;2.63
6;15;2.71
7;10;2.06
8;9;2.47
9;2;3.06
11;1;1.73
13;1;1.92
