constr_l;frq;mean_constit_l
1;13;3.0
2;20;2.92
3;20;2.6
4;14;2.46
5;9;2.42
6;12;2.44
7;3;3.0
8;7;2.66
9;1;2.33
10;1;3.0
11;1;2.55
13;1;1.08
14;1;1.79
