constr_l;frq;mean_constit_l
1;12;3.83
2;20;3.55
3;25;2.68
4;17;2.47
5;18;2.59
6;11;2.73
7;9;2.63
8;3;2.5
9;2;2.72
12;2;2.46
14;1;2.21
