constr_l;frq;mean_constit_l
1;39;3.1
2;51;2.67
3;56;2.1
4;41;2.26
5;15;2.17
6;11;2.23
7;7;2.24
8;5;2.9
9;2;2.5
11;2;3.18
23;1;2.17
