sent_l;frq;clause_mean_l
1;5;3.2
2;27;2.41
3;39;2.21
4;51;2.39
5;52;2.33
6;56;2.41
7;37;2.17
8;22;2.24
9;20;2.26
10;15;2.34
11;10;2.42
12;6;2.24
13;5;2.15
14;4;2.23
15;3;2.38
16;1;1.94
17;2;2.32
18;1;2.11
24;2;2.21
28;1;2.54
