sent_l;frq;clause_mean_l
1;5;3.6
2;23;2.43
3;37;2.23
4;48;2.14
5;53;2.18
6;63;2.25
7;35;2.13
8;24;2.2
9;23;2.17
10;16;2.21
11;5;2.24
12;9;2.16
13;5;2.09
14;3;2.48
15;2;2.13
17;2;2.06
