sent_l;frq;clause_mean_l
1;9;3.33
2;25;2.54
3;40;2.38
4;53;2.34
5;32;2.24
6;40;2.37
7;30;2.28
8;25;2.23
9;12;2.28
10;10;2.22
11;7;2.27
12;4;1.94
13;2;1.92
14;3;1.88
15;1;1.93
16;1;2.06
23;1;1.91
29;1;1.93
