sent_l;frq;clause_mean_l
1;13;3.0
2;17;2.71
3;34;2.19
4;40;2.19
5;40;2.21
6;39;2.2
7;19;2.41
8;19;2.29
9;8;2.56
10;14;2.07
11;3;2.06
12;4;2.27
13;4;2.25
14;1;2.71
16;3;2.25
18;1;2.28
