sent_l;frq;clause_mean_l
1;108;3.38
2;244;2.53
3;401;2.34
4;488;2.28
5;521;2.26
6;456;2.3
7;342;2.22
8;263;2.24
9;177;2.25
10;123;2.23
11;73;2.26
12;65;2.23
13;41;2.27
14;23;2.23
15;17;2.22
16;13;2.27
17;12;2.31
18;10;2.22
19;5;2.28
20;4;2.24
21;2;2.12
22;2;2.34
23;4;2.4
24;3;2.4
25;1;1.8
28;1;2.54
29;1;1.93
32;2;2.11
