sent_l;frq;clause_mean_l
1;20;3.6
2;42;2.55
3;54;2.48
4;78;2.34
5;77;2.3
6;50;2.39
7;48;2.34
8;32;2.31
9;16;2.29
10;12;2.43
11;9;2.35
12;3;2.61
13;3;2.46
14;1;2.71
15;1;1.87
17;3;2.45
23;1;2.48
