constr_l;frq;mean_constit_l
1;18;2.94
2;35;3.07
3;35;2.9
4;20;2.95
5;17;2.56
6;14;2.92
7;10;3.23
8;7;2.43
9;3;3.22
10;2;2.9
11;2;3.09
12;1;2.83
14;1;2.93
15;1;3.33
16;1;3.38
