constr_l;frq;mean_constit_l
1;148;3.34
2;205;3.02
3;227;2.99
4;169;2.99
5;126;3.02
6;98;3.06
7;46;3.26
8;32;2.85
9;12;3.17
10;15;2.83
11;7;2.78
12;8;2.78
13;9;3.03
14;1;2.93
15;4;2.65
16;5;2.51
17;1;3.18
20;1;2.0
21;1;3.33
23;1;1.96
