constr_l;frq;mean_constit_l
1;8;3.88
2;20;3.27
3;24;3.01
4;14;3.05
5;3;3.47
6;11;3.44
7;3;3.05
8;2;2.44
10;2;3.6
12;3;2.83
13;2;2.69
17;1;3.18
21;1;3.33
