constr_l;frq;mean_constit_l
1;17;2.94
2;22;3.05
3;24;3.22
4;17;2.99
5;13;3.66
6;9;3.13
7;5;3.83
8;3;2.88
9;3;3.19
10;2;2.45
13;3;3.46
