constr_l;frq;mean_constit_l
1;13;3.92
2;13;3.12
3;19;2.98
4;14;2.84
5;10;3.04
6;7;3.6
7;6;2.74
8;2;3.25
9;1;3.78
11;1;3.27
12;1;1.67
15;1;2.4
16;1;2.06
