sent_l;frq;clause_mean_l
1;537;6.59
2;592;5.52
3;336;5.18
4;145;5.15
5;101;5.28
6;49;5.29
7;27;5.77
8;18;6.01
9;10;5.08
10;2;5.05
11;5;5.0
12;3;4.33
14;2;5.93
15;1;3.13
16;1;6.88
24;1;2.17
