sent_l;frq;clause_mean_l
1;26;6.69
2;33;5.18
3;19;4.82
4;6;4.42
5;7;4.94
6;8;4.31
7;3;5.86
8;2;4.12
9;1;3.44
11;1;4.09
12;1;2.17
