sent_l;frq;clause_mean_l
1;45;6.16
2;62;5.37
3;25;4.56
4;13;5.38
5;7;5.71
6;3;4.83
7;2;4.64
8;3;4.83
9;1;5.44
10;1;3.6
11;1;5.27
15;1;3.13
