constr_l;frq;mean_constit_l
1;11;3.91
2;8;3.0
3;5;2.53
4;6;2.67
5;3;2.0
6;3;2.44
8;4;2.75
9;1;2.67
11;2;2.64
14;1;2.64
20;1;2.7
