constr_l;frq;mean_constit_l
1;58;3.17
2;74;2.6
3;60;2.61
4;52;2.56
5;38;2.51
6;25;2.49
7;17;2.79
8;15;2.58
9;9;2.3
10;4;2.48
11;6;2.68
12;2;2.58
14;3;2.52
15;2;2.53
20;1;2.7
