constr_l;frq;mean_constit_l
1;6;2.83
2;5;2.4
3;5;2.73
4;3;2.5
5;4;2.35
6;1;3.5
7;3;2.81
8;1;2.62
9;1;1.89
10;1;1.9
11;1;2.64
12;1;3.17
