construct;frq;mean of constituent
1;280;2.0
2;60;2.35
3;38;2.15
4;13;2.38
5;21;2.31
6;15;2.36
7;12;2.43
8.38;13;2.32
10;10;2.26
11;11;2.24
12.5;10;2.23
14.6;10;2.26
17.82;11;2.31
32.14;14;2.24
