construct;frq;mean of constituent
1;224;1.89
2;82;2.1
3;30;2.24
4;26;2.19
5;25;2.07
6;19;2.16
7.55;20;2.2
9.5;14;2.06
11.67;15;2.2
14.08;12;2.15
18.5;10;2.2
30.4;10;2.26
