construct;frq;mean of constituent
1;190;1.92
2;62;2.2
3;32;2.26
4;11;2.32
5;18;2.59
6;15;2.32
7;14;2.34
8;10;2.49
9.5;16;2.35
11.7;10;2.19
13.4;10;2.29
16.5;10;2.46
29.86;14;2.34
