construct;frq;mean of constituent
1;212;1.93
2;58;2.08
3;31;2.58
4;21;2.37
5;10;2.16
6.5;16;2.48
9.08;13;2.28
12.18;17;2.4
15.91;11;2.56
24.07;15;2.25
