sent_l;frq;clause_mean_l
1;1257;3.26
2;1379;2.86
3;791;2.83
4;410;2.82
5;217;2.81
6;112;2.77
7;51;2.91
8;27;2.95
9;18;2.67
10;5;2.38
11;10;2.88
12;4;2.52
14;1;3.07
15;1;1.93
16;1;3.94
19;1;2.79
24;1;0.62
