sent_l;frq;clause_mean_l
1;12;3.08
2;50;2.27
3;56;2.4
4;56;2.3
5;55;2.24
6;26;2.24
7;20;2.1
8;20;2.17
9;15;2.27
10;4;2.02
11;5;2.25
14;1;2.29
15;1;2.47
16;1;2.44
17;1;1.65
19;1;2.37
22;1;2.41
