sent_l;frq;clause_mean_l
1;15;3.13
2;79;2.68
3;104;2.58
4;94;2.47
5;79;2.37
6;52;2.29
7;39;2.41
8;30;2.44
9;12;2.38
10;10;2.3
11;8;2.44
12;7;2.05
13;6;2.65
14;1;2.07
15;1;2.13
17;1;2.35
