sent_l;frq;clause_mean_l
1;11;3.09
2;34;2.41
3;65;2.32
4;60;2.25
5;72;2.23
6;56;2.26
7;48;2.19
8;35;2.34
9;22;2.24
10;11;2.28
11;13;2.17
12;7;2.07
13;6;2.09
14;5;2.3
15;1;2.4
16;5;2.1
17;2;2.06
21;1;2.48
22;1;2.64
23;1;1.83
24;2;2.0
25;1;1.68
28;1;2.43
29;1;3.24
37;1;3.16
39;1;1.97
