sent_l;frq;clause_mean_l
1;16;2.44
2;18;2.33
3;46;2.3
4;35;2.21
5;38;2.25
6;42;2.25
7;20;2.07
8;12;2.01
9;18;2.05
10;5;1.88
11;2;2.05
12;3;2.56
13;5;2.32
14;3;2.14
15;5;2.04
16;1;2.25
17;2;1.88
22;2;2.07
32;1;2.62
40;1;1.7
