sent_l;frq;clause_mean_l
1;17;2.29
2;26;2.48
3;44;2.08
4;48;2.17
5;47;2.32
6;43;2.27
7;37;2.2
8;19;2.13
9;15;2.13
10;10;2.27
11;1;1.64
12;5;2.23
13;5;2.05
14;1;2.14
15;2;2.0
16;2;2.03
17;3;2.27
18;3;2.17
19;2;2.11
25;1;1.84
26;1;1.65
31;1;1.94
