sent_l;frq;clause_mean_l
2;8;2.38
3;11;2.67
4;19;2.37
5;7;2.31
6;8;2.1
7;6;2.21
8;6;2.31
9;4;2.28
10;2;1.95
11;3;2.24
12;3;2.44
13;4;2.1
14;1;2.43
16;2;2.09
17;1;2.0
20;1;2.4
