sent_l;frq;clause_mean_l
1;3;3.0
2;5;2.9
3;5;2.67
4;8;2.62
5;8;2.27
6;4;2.62
7;6;2.62
8;3;2.08
9;1;2.67
11;2;2.45
12;1;2.75
14;1;2.64
15;2;2.0
16;1;2.31
17;2;2.32
21;1;2.19
