sent_l;frq;clause_mean_l
1;4;2.5
2;14;2.71
3;14;2.29
4;27;2.44
5;29;2.32
6;13;2.36
7;21;2.31
8;10;2.48
9;5;2.24
10;3;2.17
11;5;2.13
12;1;2.42
13;1;2.54
14;3;2.45
19;1;2.32
20;1;1.7
21;2;2.45
24;1;2.42
