sent_l;frq;clause_mean_l
1;3;3.67
2;4;2.5
3;10;2.2
4;9;2.58
5;9;2.22
6;7;2.33
7;6;2.36
8;2;2.12
9;4;2.53
10;9;2.6
11;1;2.09
12;1;2.42
14;2;2.57
15;1;2.67
17;1;2.94
18;1;2.94
19;1;3.37
38;1;2.61
