sent_l;frq;clause_mean_l
1;3;2.0
2;8;2.75
3;9;2.33
4;6;2.62
5;5;2.12
6;6;2.25
7;8;2.32
8;3;2.46
9;5;2.16
11;2;1.91
12;1;2.42
14;2;2.29
16;1;2.31
21;1;2.29
22;1;2.36
