phrase_l;frq;word_mean_l
1;797;1.89
2;162;2.27
3;100;2.3
4;29;2.26
5;17;2.29
6;14;2.2
7;7;2.55
8;1;1.88
9;2;1.83
11;4;2.2
13;1;2.46
14;1;2.57
22;1;1.91
