phrase_l;frq;word_mean_l
1;801;1.88
2;263;2.2
3;76;2.36
4;38;2.59
5;12;2.52
6;15;2.59
7;5;2.46
8;1;2.5
9;2;2.17
12;1;2.5
16;1;2.69
