phrase_l;frq;word_mean_l
1;611;1.8
2;117;2.2
3;51;2.24
4;24;2.25
5;16;2.34
6;7;2.05
7;4;2.43
8;4;2.47
11;3;2.15
12;3;2.0
15;2;2.47
18;1;2.56
