phrase_l;frq;word_mean_l
1;1160;1.81
2;224;2.15
3;106;2.31
4;56;2.31
5;26;2.27
6;17;2.25
7;9;2.33
8;9;2.22
10;2;2.1
11;2;1.91
12;4;2.25
13;1;3.08
15;1;2.0
