sent_l;frq;phrase_mean_l
1;42;5.98
2;300;3.17
3;501;3.57
4;472;3.57
5;281;3.49
6;120;3.68
7;45;3.99
8;8;2.78
9;4;3.42
10;1;4.0
11;3;2.97
14;1;1.79
25;1;2.04
