phrase_l;frq;word_mean_l
1;44;2.02
2;21;2.6
3;11;2.64
4;5;3.1
5;4;2.65
6;5;2.27
7;3;2.52
8;1;2.25
9;3;2.3
10;2;2.5
11;1;1.82
17;2;2.5
18;2;2.44
29;1;2.14
