phrase_l;frq;word_mean_l
1;66;1.91
2;12;2.21
3;12;2.67
4;8;2.5
5;3;2.07
6;1;2.33
7;2;1.93
8;4;2.44
9;3;1.89
10;2;1.8
11;1;2.27
12;2;2.46
13;2;2.19
15;1;2.0
16;1;2.0
20;2;2.38
21;1;1.86
22;1;2.59
23;1;2.3
24;1;2.29
25;1;2.32
