construct;frq;mean of constituent
1;609;1.94
2;170;2.26
3;93;2.43
4;73;2.49
5;44;2.32
6;39;2.34
7;36;2.35
8;22;2.32
9;19;2.29
10;16;2.21
11;20;2.34
12.56;18;2.32
14.62;21;2.32
16.64;11;2.29
19.6;10;2.43
28.41;17;2.37
