phrase_l;frq;word_mean_l
1;707;2.0
2;203;2.0
3;126;2.13
4;69;2.16
5;60;2.08
6;47;2.29
7;28;2.24
8;22;2.24
9;24;2.34
10;17;2.11
11;11;2.19
12;15;2.06
13;10;2.22
14;9;2.12
15;8;2.33
16;2;2.34
17;3;2.18
18;5;2.11
19;3;2.28
20;2;2.3
21;2;2.26
22;1;2.36
23;4;2.04
25;1;2.24
28;1;2.21
29;1;2.31
43;1;1.88
