phrase_l;frq;word_mean_l
1;202;1.97
2;59;1.99
3;24;2.04
4;19;2.18
5;19;2.28
6;8;2.04
7;14;2.12
8;9;2.28
9;6;2.13
10;8;2.24
11;2;2.18
12;1;2.0
13;3;2.23
14;3;2.45
15;2;2.53
18;1;2.11
19;2;2.32
20;2;2.12
21;1;2.05
22;1;2.18
23;1;2.39
24;2;2.23
26;1;2.19
31;1;2.68
32;1;2.41
39;1;2.38
