phrase_l;frq;word_mean_l
1;243;2.11
2;58;2.36
3;28;2.43
4;22;2.52
5;17;2.34
6;21;2.25
7;9;2.35
8;16;2.41
9;6;2.19
10;6;2.4
11;6;2.11
12;2;2.25
13;4;2.54
14;4;2.21
15;3;2.2
16;4;2.28
17;6;2.38
18;3;2.54
19;3;2.44
20;1;2.3
21;1;2.38
23;1;2.78
26;1;2.54
27;1;2.37
28;1;2.0
38;1;2.37
40;1;2.08
