sent_l;frq;clause_mean_l
1;323;7.21
2;435;6.06
3;260;5.95
4;142;5.59
5;75;5.5
6;34;5.48
7;15;5.38
8;8;5.7
9;3;7.15
10;3;5.53
11;4;6.45
12;1;8.33
